at_bats,hits,walks,strikeouts,game_id,team
29,8,1,10,360412120,WSH
30,4,5,9,360412122,SD
27,4,5,7,360412122,PHI
33,7,4,9,360412114,NYY
29,3,6,11,360412114,TOR
36,11,5,9,360412102,BAL
35,10,1,4,360412102,BOS
33,9,4,13,360412121,MIA
30,6,4,11,360412121,NYM
31,5,1,6,360412130,CLE
27,5,3,6,360412130,TB
33,7,2,6,360412118,KC
31,7,7,14,360412118,HOU
38,13,1,4,360412127,SF
33,7,2,6,360412127,COL
35,10,3,5,360412111,LAA
34,7,1,4,360412111,OAK
36,12,1,11,360412112,TEX
32,4,2,7,360412112,SEA
33,7,4,9,360413121,MIA
27,7,2,9,360413121,NYM
38,11,4,4,360413111,LAA
31,3,3,6,360413111,OAK
35,6,2,7,360413112,TEX
38,8,4,9,360413112,SEA
34,9,5,10,360413102,BAL
30,8,4,7,360413102,BOS
29,5,3,6,360413120,ATL
28,4,2,5,360413120,WSH
33,6,2,13,360413122,SD
27,5,3,6,360413122,PHI
35,10,5,9,360413123,DET
29,4,5,10,360413123,PIT
33,8,3,6,360413114,NYY
32,10,3,8,360413114,TOR
32,5,1,15,360413130,CLE
31,5,1,9,360413130,TB
30,7,4,7,360413116,CIN
31,8,10,9,360413116,CHC
35,9,0,8,360413109,CHW
29,4,5,9,360413109,MIN
35,8,2,11,360413118,KC
33,6,4,11,360413118,HOU
36,9,3,10,360413124,MIL
31,6,2,5,360413124,STL
31,7,3,5,360413127,SF
40,18,4,8,360413127,COL
29,5,4,5,360413119,ARI
31,7,1,8,360413119,LAD
32,9,3,7,360414123,DET
40,14,3,4,360414123,PIT
30,3,0,16,360414122,SD
25,3,5,10,360414122,PHI
34,9,1,9,360414109,CHW
31,4,2,6,360414109,MIN
39,13,7,8,360414130,CLE
31,5,3,14,360414130,TB
28,1,1,13,360414124,MIL
32,11,3,9,360414124,STL
38,9,2,7,360414127,SF
36,13,4,9,360414127,COL
30,5,2,8,360414120,ATL
30,6,1,7,360414120,WSH
30,3,2,3,360414114,NYY
32,8,3,10,360414114,TOR
32,6,4,6,360414116,CIN
33,11,5,4,360414116,CHC
34,9,3,7,360414113,BAL
33,10,2,5,360414113,TEX
39,13,1,5,360414118,KC
29,5,2,9,360414118,HOU
32,6,1,9,360414119,ARI
29,8,5,6,360414119,LAD
38,11,3,8,360415116,COL
30,4,4,7,360415116,CHC
36,12,4,3,360415110,SEA
33,6,7,10,360415110,NYY
43,16,3,10,360415122,WSH
32,4,3,6,360415122,PHI
35,11,10,8,360415123,MIL
36,8,4,6,360415123,PIT
29,3,2,12,360415102,TOR
32,9,6,7,360415102,BOS
40,14,2,8,360415105,NYM
42,14,3,9,360415105,CLE
33,8,1,9,360415128,ATL
37,12,5,4,360415128,MIA
32,6,1,10,360415130,CHW
30,2,0,9,360415130,TB
37,13,3,6,360415113,BAL
31,6,2,11,360415113,TEX
32,9,5,4,360415109,LAA
32,8,3,7,360415109,MIN
31,5,1,4,360415118,DET
26,5,6,6,360415118,HOU
34,7,1,7,360415124,CIN
39,13,4,5,360415124,STL
37,12,5,13,360415111,KC
32,5,5,4,360415111,OAK
33,5,0,9,360415119,SF
35,9,2,11,360415119,LAD
32,8,4,8,360415125,ARI
34,8,3,7,360415125,SD
37,10,1,13,360416110,SEA
37,10,6,7,360416110,NYY
34,9,3,4,360416109,LAA
33,10,2,4,360416109,MIN
40,15,3,4,360416124,CIN
38,10,6,5,360416124,STL
31,7,1,9,360416116,COL
30,8,5,10,360416116,CHC
32,7,0,12,360416102,TOR
31,9,2,3,360416102,BOS
36,9,2,7,360416111,KC
33,10,4,3,360416111,OAK
34,8,3,8,360416105,NYM
33,11,3,5,360416105,CLE
33,7,0,6,360416130,CHW
32,10,5,5,360416130,TB
33,8,3,10,360416122,WSH
34,7,1,10,360416122,PHI
28,3,5,6,360416123,MIL
29,8,6,8,360416123,PIT
42,15,1,12,360416118,DET
32,8,2,10,360416118,HOU
35,10,2,3,360416128,ATL
35,8,5,12,360416128,MIA
37,10,3,12,360416113,BAL
34,14,4,4,360416113,TEX
52,11,4,17,360416125,ARI
54,14,5,14,360416125,SD
33,8,6,7,360416119,SF
32,5,3,8,360416119,LAD
33,6,0,12,360417110,SEA
32,8,2,4,360417110,NYY
37,9,2,10,360417105,NYM
30,3,2,15,360417105,CLE
36,7,8,11,360417128,ATL
36,7,2,8,360417128,MIA
32,5,1,12,360417130,CHW
30,8,0,9,360417130,TB
40,14,1,12,360417102,TOR
31,4,4,10,360417102,BOS
35,8,5,10,360417122,WSH
34,7,2,9,360417122,PHI
32,6,4,9,360417123,MIL
39,17,7,2,360417123,PIT
41,4,3,11,360417109,LAA
44,13,5,6,360417109,MIN
36,8,1,10,360417118,DET
33,9,2,10,360417118,HOU
32,8,1,10,360417124,CIN
32,7,3,3,360417124,STL
30,5,2,14,360417116,COL
30,3,1,9,360417116,CHC
33,6,2,6,360417111,KC
26,4,4,4,360417111,OAK
36,11,1,5,360417125,ARI
31,6,3,10,360417125,SD
30,5,3,8,360417119,SF
27,6,3,3,360417119,LAD
30,8,7,5,360418102,TOR
32,7,1,6,360418102,BOS
36,10,3,12,360418122,NYM
33,7,3,13,360418122,PHI
32,7,3,12,360418117,COL
31,4,1,7,360418117,CIN
31,6,5,11,360418128,WSH
34,10,3,4,360418128,MIA
34,9,1,6,360418124,CHC
32,5,2,14,360418124,STL
38,13,2,5,360418104,LAA
30,3,3,10,360418104,CHW
24,6,2,6,360418109,MIL
31,14,1,5,360418109,MIN
43,16,2,7,360418126,ARI
44,13,7,10,360418126,SF
33,9,4,8,360419109,MIL
34,8,6,5,360419109,MIN
