date,city,temp_min,temp_max,temp_mid,precip,elevation,away_score,home_score,at_bats,hits,bat_avg,walks,strikeouts
2016-04-03,Pittsburgh,-3.8000000000000000,9.7000000000000000,2.9500000000000000,0.25000000000000000000,360.1500000000000000,1,4,60,14,0.23333333333333333333,10,19
2016-04-04,Arlington,8.9000000000000000,27.5000000000000000,18.2000000000000000,0.00000000000000000000,171.6000000000000000,2,3,57,5,0.08771929824561403509,9,21
2016-04-04,Atlanta,4.6000000000000000,24.7000000000000000,14.6500000000000000,0.00000000000000000000,295.3375000000000000,4,3,69,12,0.17391304347826086957,10,22
2016-04-04,Baltimore,0.60000000000000000000,21.7000000000000000,11.1500000000000000,3.3000000000000000,42.1000000000000000,2,3,69,17,0.24637681159420289855,5,20
2016-04-04,Cincinnati,0.60000000000000000000,15.8000000000000000,8.2000000000000000,0.06000000000000000000,259.9800000000000000,2,6,61,12,0.19672131147540983607,4,17
2016-04-04,Kansas City,8.8500000000000000,19.4500000000000000,14.1500000000000000,0.00000000000000000000,270.7833333333333333,3,4,63,16,0.25396825396825396825,8,12
2016-04-04,Milwaukee,-2.5666666666666667,14.2666666666666667,5.85000000000000000000,0.00000000000000000000,207.2500000000000000,12,3,72,23,0.31944444444444444444,10,13
2016-04-04,San Diego,11.3400000000000000,23.3400000000000000,17.3400000000000000,0.00000000000000000000,113.7428571428571429,15,0,73,21,0.28767123287671232877,6,20
2016-04-05,Anaheim,11.7000000000000000,31.7000000000000000,21.7000000000000000,0.00000000000000000000,126.6250000000000000,9,0,66,14,0.21212121212121212121,8,19
2016-04-05,Cleveland,-3.5000000000000000,1.9500000000000000,-0.77500000000000000000,0.00000000000000000000,219.7500000000000000,6,2,68,16,0.23529411764705882353,9,23
2016-04-05,Kansas City,6.1500000000000000,24.7000000000000000,15.4250000000000000,0.41666666666666666667,270.7833333333333333,2,0,64,9,0.14062500000000000000,6,21
2016-04-05,Miami,19.0666666666666667,28.0500000000000000,23.5583333333333333,0.16153846153846153846,1.9461538461538462,8,7,82,22,0.26829268292682926829,7,16
2016-04-05,Oakland,11.2750000000000000,25.5500000000000000,18.4125000000000000,0.00000000000000000000,161.4800000000000000,4,3,66,14,0.21212121212121212121,4,16
2016-04-05,Phoenix,15.0000000000000000,32.7500000000000000,23.8750000000000000,0.00000000000000000000,378.6954545454545455,10,5,81,27,0.33333333333333333333,7,20
2016-04-05,Pittsburgh,-5.2000000000000000,5.8500000000000000,0.32500000000000000000,0.00000000000000000000,360.1500000000000000,5,6,79,20,0.25316455696202531646,5,25
2016-04-06,Anaheim,13.9000000000000000,31.1000000000000000,22.5000000000000000,0.00000000000000000000,126.6250000000000000,6,1,68,13,0.19117647058823529412,0,15
2016-04-06,Arlington,11.1000000000000000,27.5000000000000000,19.3000000000000000,0.00000000000000000000,171.6000000000000000,9,5,70,21,0.30000000000000000000,8,17
2016-04-06,Arlington,11.1000000000000000,27.5000000000000000,19.3000000000000000,0.00000000000000000000,171.6000000000000000,10,2,69,18,0.26086956521739130435,9,15
2016-04-06,Atlanta,5.9750000000000000,19.2750000000000000,12.6250000000000000,5.1142857142857143,290.5000000000000000,3,1,65,16,0.24615384615384615385,5,14
2016-04-06,Baltimore,-4.3000000000000000,11.7000000000000000,3.7000000000000000,0.00000000000000000000,42.1000000000000000,2,4,61,14,0.22950819672131147541,12,19
2016-04-06,Cincinnati,-0.25000000000000000000,18.0500000000000000,8.9000000000000000,1.5800000000000000,259.9800000000000000,2,3,63,13,0.20634920634920634921,2,19
2016-04-06,Cleveland,-0.80000000000000000000,16.7000000000000000,7.9500000000000000,5.1000000000000000,219.7500000000000000,6,7,67,19,0.28358208955223880597,9,13
2016-04-06,Miami,18.5166666666666667,27.4000000000000000,22.9583333333333333,0.27692307692307692308,1.9461538461538462,7,3,73,23,0.31506849315068493151,7,22
2016-04-06,Milwaukee,-1.6666666666666667,6.1333333333333333,2.2333333333333333,11.8750000000000000,207.2500000000000000,3,4,60,15,0.25000000000000000000,11,12
2016-04-06,Milwaukee,-1.6666666666666667,6.1333333333333333,2.2333333333333333,11.8750000000000000,207.2500000000000000,2,1,64,13,0.20312500000000000000,2,11
2016-04-06,Oakland,15.5750000000000000,29.0250000000000000,22.3000000000000000,0.00000000000000000000,161.4800000000000000,5,4,75,21,0.28000000000000000000,2,17
2016-04-06,Phoenix,18.0500000000000000,35.5500000000000000,26.8000000000000000,0.00000000000000000000,379.4714285714285714,4,3,68,16,0.23529411764705882353,1,13
2016-04-06,Phoenix,18.0500000000000000,35.5500000000000000,26.8000000000000000,0.00000000000000000000,379.4714285714285714,6,11,73,24,0.32876712328767123288,5,10
2016-04-06,Pittsburgh,-1.8500000000000000,19.1500000000000000,8.6500000000000000,0.00000000000000000000,360.1500000000000000,1,5,62,13,0.20967741935483870968,9,15
